('Total Revenue', '254,190,000.00', '245,122,000.00', '211,915,000.00', '198,270,000.00', '168,088,000.00')
         737441 function calls (717118 primitive calls) in 6.817 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      389    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
        2    0.000    0.000    0.031    0.015 exceptions.py:1(<module>)
        9    0.000    0.000    0.000    0.000 __init__.py:1315(getLogger)
        1    0.000    0.000    0.000    0.000 connection.py:369(request)
       10    0.000    0.000    0.003    0.000 enum.py:536(_convert_)
        1    0.000    0.000    0.006    0.006 cookiejar.py:1(<module>)
       69    0.000    0.000    0.000    0.000 css_types.py:251(__init__)
        1    0.000    0.000    0.917    0.917 connection.py:485(getresponse)
        1    0.000    0.000    0.178    0.178 connection.py:27(create_connection)
        1    0.000    0.000    0.013    0.013 url.py:1(<module>)
        2    0.000    0.000    0.002    0.001 cookies.py:1(<module>)
        4    0.000    0.000    0.000    0.000 feedparser.py:218(_parsegen)
        1    0.000    0.000    0.014    0.014 connectionpool.py:1(<module>)
       11    0.000    0.000    0.000    0.000 parse.py:444(urlsplit)
       52    0.000    0.000    0.002    0.000 css_parser.py:1092(<listcomp>)
        5    0.000    0.000    0.000    0.000 {method 'settimeout' of '_socket.socket' objects}
      136    0.000    0.000    0.000    0.000 enum.py:446(<genexpr>)
        1    0.000    0.000    0.000    0.000 datetime.py:1(<module>)
      188    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
        1    0.000    0.000    0.000    0.000 threading.py:568(set)
       23    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
